0.000000,0.000000,0.500000,0.500000
1.405145,-0.156609,0.500000,0.500000
2.542805,-0.477466,0.500000,0.500000
3.929763,-0.584732,0.500000,0.500000
5.779073,-0.584732,0.500000,0.500000
6.988236,-0.513605,0.500000,0.500000
8.055545,-0.407273,0.500000,0.500000
9.087703,-0.229974,0.500000,0.500000
10.190022,0.552761,0.500000,0.500000
10.301563,1.226567,0.500000,0.500000
10.200431,2.216129,0.500000,0.500000
9.716536,2.912280,0.500000,0.500000
8.745395,3.365930,0.500000,0.500000
7.533448,3.637511,0.500000,0.500000
6.325043,3.818860,0.500000,0.500000
4.905166,3.758417,0.500000,0.500000
3.929768,3.611771,0.500000,0.500000
2.933972,3.469572,0.500000,0.500000
1.902820,3.398605,0.500000,0.500000
1.191879,3.149854,0.500000,0.500000
0.338337,3.007476,0.500000,0.500000
-0.622428,2.758224,0.500000,0.500000
-1.835674,2.187258,0.500000,0.500000
-1.960285,1.254140,0.500000,0.500000
-1.423689,0.390282,0.500000,0.500000
0.000000,0.000000,0.500000,0.500000
