x_m,y_m, psi_rad
0.000000,0.000000,1.945056
-0.864202,1.769980,2.101729
-1.998678,3.419735,2.240512
-3.339038,4.921435,2.356553
-4.824279,6.267287,2.447224
-6.395093,7.498481,2.501846
-8.015895,8.652864,2.541687
-9.678213,9.754927,2.567365
-11.360017,10.829160,2.577004
-13.049447,11.894488,2.580387
-14.745655,12.970947,2.565562
-16.398652,14.104179,2.508438
-17.944896,15.337599,2.423296
-19.369134,16.734659,2.303408
-20.587489,18.284226,2.173186
-21.627920,20.005226,2.058106
-22.465857,21.821960,1.946584
-23.086049,23.727749,1.822997
-23.457995,25.680293,1.694178
-23.572374,27.670686,1.562395
-23.429188,29.651060,1.435004
-23.035213,31.605830,1.310506
-22.404007,33.510506,1.191564
-21.565223,35.311656,1.079005
-20.524792,37.019297,0.969288
-19.308979,38.605599,0.864492
-17.937270,40.056092,0.763393
-16.428306,41.364096,0.665285
-14.800726,42.519593,0.569517
-13.070628,43.514789,0.475863
-11.257499,44.347459,0.384693
-9.374047,45.012036,0.294581
-7.438913,45.505181,0.204419
-5.470736,45.820216,0.112502
-3.476294,45.951573,0.019159
-1.478463,45.898139,-0.073480
0.500729,45.657689,-0.168774
2.463822,45.221317,-0.268499
4.356594,44.597928,-0.368424
6.165487,43.790861,-0.470772
7.892196,42.796778,-0.573896
9.502830,41.643508,-0.666982
11.023656,40.335504,-0.752078
12.428408,38.913954,-0.830890
13.717085,37.385538,-0.909053
14.881216,35.764726,-0.986693
15.917410,34.059311,-1.062801
16.823128,32.283766,-1.134448
17.606840,30.446994,-1.198986
18.281256,28.565695,-1.252164
18.865864,26.658792,-1.291493
19.391163,24.731851,-1.315686
19.883419,22.796005,-1.325248
20.370591,20.861273,-1.320553
20.880640,18.930993,-1.302237
21.438135,17.011845,-1.272434
22.060868,15.116074,-1.233104
22.765786,13.247019,-1.185912
23.563054,11.418040,-1.132934
24.461146,9.631362,-1.077492
25.457520,7.892552,-1.023327
26.537772,6.224986,-0.967423
27.738335,4.591929,-0.905659
29.022776,3.065739,-0.832748
30.398721,1.679811,-0.744099
31.921241,0.401863,-0.655846
33.551363,-0.756973,-0.581626
35.255196,-1.796697,-0.516112
37.035282,-2.738459,-0.457282
38.850953,-3.563337,-0.394771
40.720001,-4.269102,-0.326747
42.628870,-4.842398,-0.256224
44.577561,-5.278770,-0.184696
46.548280,-5.574880,-0.112833
48.536791,-5.727388,-0.040626
50.536317,-5.736293,0.031943
52.523133,-5.602710,0.102230
54.502325,-5.331090,0.170021
56.461182,-4.924774,0.240148
58.385302,-4.378196,0.313852
60.264517,-3.685788,0.392670
62.066632,-2.852005,0.475651
63.811981,-1.852356,0.565168
65.448033,-0.703539,0.660456
66.951067,0.589993,0.761661
68.313455,2.040486,0.872824
69.503004,3.637921,0.989697
70.491752,5.363373,1.114657
71.241574,7.210163,1.257530
71.710107,9.159368,1.414988
71.853294,11.149760,1.586622
71.618604,13.150171,1.793242
70.962827,15.022565,2.029387
69.876644,16.674547,2.270577
68.432919,18.043776,2.492748
66.741794,19.081274,2.679612
64.918498,19.842699,2.796738
63.023185,20.491692,2.812506
61.140581,21.160722,2.784225
59.285936,21.902110,2.733317
57.463487,22.778194,2.648251
55.741014,23.821258,2.541892
54.135463,25.083621,2.405775
52.790019,26.479567,2.265786
51.697058,28.131549,2.029457
51.041282,29.954962,1.814782
50.698143,31.920864,1.686517
50.551567,33.973595,1.599190
50.576985,35.972893,1.516828
50.771854,37.951041,1.426279
51.153119,39.895792,1.329870
51.696211,41.819393,1.268615
52.317250,43.747447,1.264456
52.840855,45.665482,1.359528
53.160270,47.620252,1.447533
53.350056,49.609531,1.506908
53.398350,51.593244,1.590490
53.263636,53.572505,1.687239
52.939136,55.553992,1.777425
52.459589,57.478706,1.847424
51.860579,59.402307,1.893163
51.211580,61.292512,1.904458
50.570207,63.198301,1.879902
50.016101,65.115223,1.817672
49.622127,67.063314,1.716570
49.461148,69.055933,1.583467
49.579764,71.046325,1.436945
50.005087,72.988851,1.269140
50.775243,74.825622,1.073906
51.897858,76.466471,0.868965
53.335653,77.856852,0.669234
55.014068,78.932198,0.467791
56.872102,79.635737,0.255889
58.830112,79.941866,0.060023
60.815234,79.893999,-0.104585
62.788495,79.531097,-0.258665
64.678724,78.870972,-0.414482
66.426615,77.937002,-0.564039
68.041486,76.755902,-0.693905
69.511476,75.395578,-0.795749
70.853531,73.909463,-0.872819
72.093914,72.345424,-0.923451
73.263129,70.730178,-0.964766
74.369646,69.069291,-0.999034
75.428717,67.377235,-1.022915
76.453050,65.664028,-1.039613
77.454507,63.936350,-1.050791
78.439019,62.200879,-1.057738
79.416754,60.459842,-1.060351
80.392793,58.718805,-1.058989
81.373069,56.979995,-1.054778
82.363512,55.245637,-1.048804
83.364970,53.519072,-1.041778
84.379136,51.799185,-1.034424
85.405164,50.087092,-1.027135
86.444747,48.381677,-1.020040
87.495346,46.684055,-1.013080
88.557805,44.994225,-1.006249
89.631280,43.309961,-0.999552
90.716615,41.634603,-0.993027
91.811271,39.965924,-0.987008
92.916941,38.302810,-0.981916
94.028542,36.645263,-0.978450
95.144379,34.989942,-0.977250
96.260216,33.333508,-0.978701
97.370122,31.675961,-0.982959
98.474097,30.012848,-0.987387
99.567058,28.347508,-0.993629
100.647310,26.666584,-1.006515
101.702145,24.970075,-1.023410
102.723936,23.251302,-1.046384
103.695740,21.504699,-1.081677
104.602304,19.725814,-1.116831
105.449561,17.920212,-1.146375
106.245982,16.097912,-1.169209
107.017833,14.261140,-1.173230
107.801545,12.418802,-1.166313
108.581022,10.566446,-1.183262
109.314746,8.677354,-1.219740
109.948494,6.783810,-1.280480
110.432277,4.901397,-1.359057
110.788125,2.924363,-1.420075
111.046538,0.976272,-1.457083
111.240560,-1.033045,-1.491239
111.371885,-3.034569,-1.518399
111.446444,-5.033867,-1.551137
111.439665,-7.027599,-1.598344
111.332911,-9.019105,-1.650836
111.118555,-11.003932,-1.706954
110.788972,-12.972060,-1.766519
110.341621,-14.917925,-1.827866
109.773112,-16.830394,-1.891896
109.080056,-18.701674,-1.959842
108.258217,-20.521748,-2.030383
107.313526,-22.270577,-2.101101
106.244288,-23.959294,-2.166586
105.086088,-25.591238,-2.204377
103.843162,-27.236540,-2.238333
102.546860,-28.734900,-2.349133
101.079411,-29.990584,-2.513448
99.401843,-31.089307,-2.590982
97.701399,-32.095636,-2.629508
95.926396,-33.019587,-2.697127
94.084461,-33.809956,-2.775037
92.195925,-34.456722,-2.846378
90.267569,-34.976584,-2.908383
88.306170,-35.390693,-2.957200
86.335451,-35.715745,-2.998396
84.347787,-35.963988,-3.035080
82.366054,-36.145439,-3.063198
80.369070,-36.279022,-3.086786
78.377170,-36.365851,-3.108452
76.384422,-36.413719,-3.126156
74.385744,-36.430417,-3.139883
72.390454,-36.422624,3.133159
70.395165,-36.398134,3.125626
68.399028,-36.361398,3.120484
66.404586,-36.315757,3.117621
64.407602,-36.266777,3.116839
62.412313,-36.217796,3.117783
60.416176,-36.172155,3.120103
58.419192,-36.133194,3.123447
56.423903,-36.100911,3.127560
54.427766,-36.077534,3.132242
52.430782,-36.063062,3.137287
50.434646,-36.059723,-3.140636
48.437662,-36.067515,-3.135282
46.440678,-36.085326,-3.129980
44.444541,-36.113156,-3.124846
42.448405,-36.152118,-3.119976
40.453115,-36.199985,-3.115394
38.456979,-36.256758,-3.111152
36.461689,-36.321323,-3.107310
34.466400,-36.392568,-3.103890
32.471958,-36.470492,-3.101540
30.475821,-36.551755,-3.101216
28.481379,-36.629678,-3.103966
26.481853,-36.700923,-3.107343
24.486564,-36.768828,-3.107653
22.494664,-36.836733,-3.107028
20.501916,-36.910204,-3.100964
18.517641,-37.004825,-3.086746
16.513879,-37.119484,-3.085292
14.531299,-37.219672,-3.099173
12.525842,-37.278671,-3.128869
10.528011,-37.254181,3.100810
8.532722,-37.101673,3.028521
6.563697,-36.802224,2.951815
4.621785,-36.345814,2.869263
2.738333,-35.733557,2.785104
0.887078,-34.956546,2.704485
-0.882841,-34.029255,2.608628
-2.563799,-32.887117,2.475403
-4.010066,-31.555736,2.310061
-5.193683,-29.927132,2.084811
-5.968076,-28.139341,1.878354
-6.394246,-26.187910,1.701219
-6.500153,-24.189725,1.546254
-6.291728,-22.194880,1.389903
-5.796083,-20.265713,1.250773
-5.060664,-18.413357,1.142015
-4.165961,-16.645603,1.066776
-3.156031,-14.925717,1.018759
-2.093571,-13.218076,1.017286
-1.063307,-11.483719,1.060171
-0.157590,-9.687022,1.157513
0.504118,-7.839119,1.305608
0.847257,-5.875443,1.488141
0.858271,-3.898409,1.638912
0.578676,-1.919148,1.784551
0.000000,0.000000,1.945056
